City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
115,Marzuq,YE,2019-08-26 17:26:23,14.4,46.47,84.25,37,27,4.76,scattered clouds,0.0,0
116,Lerwick,GB,2019-08-26 17:26:23,60.15,-1.15,62.6,87,75,3.36,broken clouds,0.0,0
117,Kasempa,ZM,2019-08-26 17:26:23,-13.46,25.83,71.83,40,40,4.92,scattered clouds,0.0,0
118,Loiza,PR,2019-08-26 17:26:23,18.43,-65.88,91.99,62,20,19.46,haze,0.0,0
119,Tungor,RU,2019-08-26 17:26:24,53.39,142.95,54.19,93,0,12.1,clear sky,0.0,0
120,Deputatskiy,RU,2019-08-26 17:26:24,69.3,139.9,42.49,94,69,3.65,broken clouds,0.0,0
121,Phan Thiet,VN,2019-08-26 17:23:30,10.93,108.1,76.51,87,98,4.21,overcast clouds,0.0,0
122,Lenina,UA,2019-08-26 17:26:24,48.44,39.15,66.07,47,0,6.87,clear sky,0.0,0
123,Poptun,GT,2019-08-26 17:26:25,16.33,-89.42,95.23,41,12,1.48,few clouds,0.0,0
124,Cayenne,GF,2019-08-26 17:26:25,4.94,-52.33,91.4,49,0,6.93,clear sky,0.0,0
125,Ribeira Grande,PT,2019-08-26 17:26:25,38.52,-28.7,73.4,88,75,10.29,light intensity drizzle,0.0,0
126,Henties Bay,NA,2019-08-26 17:26:25,-22.12,14.28,60.01,84,0,10.0,clear sky,0.0,0
127,Bekhtery,UA,2019-08-26 17:26:26,46.25,32.3,82.4,34,0,8.95,clear sky,0.0,0
128,Baruun-Urt,MN,2019-08-26 17:26:26,46.68,113.28,48.07,78,6,11.9,clear sky,0.0,0
129,Lasa,CY,2019-08-26 17:26:26,34.92,32.53,82.4,78,0,11.41,clear sky,0.0,0
130,Fare,PF,2019-08-26 17:26:26,-16.7,-151.02,78.13,70,10,10.45,clear sky,0.0,0
131,Kaitangata,NZ,2019-08-26 17:26:27,-46.28,169.85,37.99,77,37,5.99,scattered clouds,0.0,0
132,Kibiti,TZ,2019-08-26 17:26:27,-7.72,38.94,72.91,83,39,7.49,scattered clouds,0.0,0
133,Singaparna,ID,2019-08-26 17:26:27,-7.35,108.11,66.79,95,97,2.1,light rain,0.124,0
134,Sur,OM,2019-08-26 17:26:28,22.57,59.53,84.61,53,24,7.74,few clouds,0.0,0
135,Rio Gallegos,AR,2019-08-26 17:26:28,-51.62,-69.22,51.8,29,40,27.51,scattered clouds,0.0,0
136,Tuktoyaktuk,CA,2019-08-26 17:26:28,69.44,-133.03,44.6,93,90,6.93,light rain,0.0,0
137,Redwood City,US,2019-08-26 17:26:29,37.49,-122.23,79.0,77,5,3.36,clear sky,0.0,0
138,Katobu,ID,2019-08-26 17:26:29,-4.94,122.53,68.05,92,80,3.8,broken clouds,0.0,0
139,Saint-Francois,FR,2019-08-26 17:26:29,46.42,3.91,91.4,22,0,2.24,clear sky,0.0,0
140,Hithadhoo,MV,2019-08-26 17:26:30,-0.6,73.08,82.63,74,87,7.61,overcast clouds,0.0,0
141,Tottori,JP,2019-08-26 17:26:01,35.5,134.23,71.47,74,55,4.09,broken clouds,0.0,0
142,Gamba,CN,2019-08-26 17:26:30,28.28,88.52,46.09,52,53,4.61,broken clouds,0.0,0
143,Nhulunbuy,AU,2019-08-26 17:26:30,-12.18,136.78,66.2,93,21,1.12,few clouds,0.0,0
144,Pimentel,BR,2019-08-26 17:26:31,-3.7,-45.5,93.07,38,57,4.7,broken clouds,0.0,0
145,Meulaboh,ID,2019-08-26 17:26:31,4.14,96.13,81.19,79,100,5.84,light rain,0.25,0
146,Krasnoarmeyskoye,RU,2019-08-26 17:26:31,51.2,45.92,66.99,38,0,1.99,clear sky,0.0,0
147,Kiunga,PG,2019-08-26 17:26:32,-6.12,141.3,70.93,98,98,2.64,light rain,0.187,0
