City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,Juneau,58.3019,-134.4197,24.8,100,75,11.5,US,2022-11-29 07:30:32
162,Bereda,43.2686,-7.5406,45.14,100,99,1.81,ES,2022-11-29 07:31:22
163,Sao Joao Da Barra,-21.6403,-41.0511,72.99,92,98,14.45,BR,2022-11-29 07:31:23
164,Magadi,12.9667,77.2333,84.06,53,36,5.66,IN,2022-11-29 07:28:28
165,Novobirilyussy,56.9514,90.6661,-0.89,85,68,6.15,RU,2022-11-29 07:32:23
166,Nanortalik,60.1432,-45.2371,32.52,99,100,6.8,GL,2022-11-29 07:32:24
167,Shunyi,40.125,116.6453,22.95,15,0,17.9,CN,2022-11-29 07:33:24
168,Araguacu,-12.9306,-49.8264,69.8,97,100,4.52,BR,2022-11-29 07:33:25
169,Dingle,10.9995,122.6711,83.71,76,22,9.62,PH,2022-11-29 07:33:25
170,Askarovo,53.3372,58.5089,-1.25,55,0,6.71,RU,2022-11-29 07:34:26
171,Buala,-8.145,159.5921,80.71,79,100,4.18,SB,2022-11-29 07:34:26
172,Ketchikan,55.3422,-131.6461,30.67,43,100,6.91,US,2022-11-29 07:34:27
173,Pevek,69.7008,170.3133,20.95,82,100,15.55,RU,2022-11-29 07:34:27
174,Svetlyy,54.675,20.1347,35.65,80,69,13.33,RU,2022-11-29 07:34:27
175,Akonolinga,3.7667,12.25,73.85,75,96,2.08,CM,2022-11-29 07:34:28
176,Santa Isabel Do Rio Negro,-0.4139,-65.0192,72.21,96,100,1.88,BR,2022-11-29 07:34:28
177,Soe,-9.8607,124.284,75.02,76,92,4.74,ID,2022-11-29 07:35:29
178,Lana,46.6124,11.1559,41.45,91,100,0.63,IT,2022-11-29 07:35:31
179,East London,-33.0153,27.9116,77.94,57,0,13.8,ZA,2022-11-29 07:35:31
180,Yuncheng,35.0231,110.9928,34.54,18,98,21.45,CN,2022-11-29 07:35:32
181,Willowmore,-33.2926,23.4895,87.26,28,7,12.97,ZA,2022-11-29 07:35:32
182,Provideniya,64.3833,-173.3,21.6,83,100,8.57,RU,2022-11-29 07:38:49
183,Kodiak,57.79,-152.4072,27.91,64,0,20.71,US,2022-11-29 07:38:49
184,Dahuk,36.8695,42.994,61.86,31,100,3.02,IQ,2022-11-29 07:38:49
185,Keti Bandar,24.1447,67.4497,85.15,19,22,9.24,PK,2022-11-29 07:38:51
186,Akdepe,42.0551,59.3788,32.09,48,56,6.82,TM,2022-11-29 07:38:51
187,Geraldton,-28.7667,114.6,95.41,23,3,16.11,AU,2022-11-29 07:38:52
